UPC	quantity	unit_cost	style	std_size
604084956477	50	18.40	TX6587-534X	L
604084956613	111	18.40	TX6587-999X	L
604084894939	0	18.40	TX6588-907X	XXL
604084368249	0	18.40	TX6588-999X	XXL
604084414144	17	18.40	TX6588-534X	XXL
604084894885	0	18.40	TX6588-907X	XS
604084368263	27	18.40	TX6588-534X	XS
604084368195	42	18.40	TX6588-999X	XS
604084414137	61	18.40	TX6588-534X	XL
604084894922	28	18.40	TX6588-907X	XL
604084368232	41	18.40	TX6588-999X	XL
604084894892	32	18.40	TX6588-907X	S
604084414106	82	18.40	TX6588-534X	S
604084368201	101	18.40	TX6588-999X	S
604084414113	154	18.40	TX6588-534X	M
604084894908	65	18.40	TX6588-907X	M
604084368218	108	18.40	TX6588-999X	M
604084368225	72	18.40	TX6588-999X	L
604084894915	59	18.40	TX6588-907X	L
604084414120	104	18.40	TX6588-534X	L
604084191373	10	18.40	TX6865-534X	XXL
604084191304	0	18.40	TX6865-999X	XXL
604084191328	13	18.40	TX6865-534X	XS
604084191250	0	18.40	TX6865-999X	XS
604084191298	0	18.40	TX6865-999X	XL
604084191366	17	18.40	TX6865-534X	XL
604084191267	0	18.40	TX6865-999X	S
604084191335	28	18.40	TX6865-534X	S
604084191342	48	18.40	TX6865-534X	M
604084191274	0	18.40	TX6865-999X	M
604084191281	0	18.40	TX6865-999X	L
604084191359	37	18.40	TX6865-534X	L
